983	rpbId
HT018845884	929t160874
HT018845884	929t160875
HT018845884	929t160876
HT018845884	929t160877
HT018845884	929t160878
HT018845884	929t160879
HT018845884	929t160880
HT018845884	929t160901
HT018845884	929t160902
HT018845884	929t160903
HT018845884	929t160904
HT018845884	929t160905
HT018845884	929t160906
HT018845884	929t160907
HT018845884	929t160908
HT018845884	929t160909
HT018845884	929t160910
HT018845884	929t160911
HT018845884	929t160912
HT018845884	929t160913
HT018845884	929t160914
HT018845884	929t160915
HT018845884	929t160916
HT018845884	929t160917
HT018845884	929t160918
HT018845884	929t160919
HT018845884	929t160920
HT018845884	929t160921
HT018845884	929t160922
HT018845884	929t160923
HT018845884	929t160924
HT018845884	929t160925
HT018845884	929t160926
HT018845884	929t160927
HT018845884	929t160940
HT018845884	929t160942
HT018845884	929t160943
HT018845816	929t161112
TT003023750	929t162405
HT005233489	929t163298
HT00718666901 [Hauptbd.]	929t170133
HT019278119	929t171431
HT018538120	929t173714
HT018538120	929t173715
HT018538120	929t173716
HT018538120	929t173717
HT018538120	929t173718
HT018538120	929t173719
HT018538120	929t173720
HT018538120	929t173721
HT018538120	929t173726
HT018538120	929t173727
HT018538120	929t173729
HT018538120	929t173732
HT018538120	929t173734
HT018538120	929t173735
HT018538120	929t173736
HT018538120	929t173737
HT018538120	929t173739
HT018538120	929t173740
HT018538120	929t173746
HT018538120	929t173747
HT018538120	929t173748
HT018538120	929t173750
HT018538120	929t173753
HT018538120	929t173755
HT018538120	929t173759
HT018538120	929t173760
HT018538120	929t173762
HT018538120	929t173763
HT018538120	929t173765
HT018538120	929t173766
HT018538120	929t173767
HT018538120	929t173769
HT018538120	929t173770
HT018538120	929t173771
HT018538120	929t173772
HT018538120	929t173773
HT018538120	929t173774
HT018538120	929t173775
HT018538120	929t173776
HT018538120	929t173777
HT018538120	929t173778
HT018538120	929t173779
HT018538120	929t173780
HT018538120	929t173781
HT018538120	929t173782
HT018538120	929t173783
HT018538120	929t181453
HT018538120	929t181454
HT018538120	929t181455
HT018538120	929t181456
HT018538120	929t181457
HT018538120	929t181458
HT018538120	929t181459
HT018538120	929t181460
HT019529649	929t181614
HT018538120	929t181730
HT018538120	929t181731
HT018538120	929t181732
HT018538120	929t181733
HT018538120	929t181734
HT018538120	929t181735
HT007977758	929t182278
HT004320011	929t182782
HT019855001	929t183026
HT018538120	929t192030
HT018538120	929t192031
HT018538120	929t192033
HT018538120	929t192038
HT018538120	929t192039
HT018538120	929t192040
HT018538120	929t192041
HT018538120	929t192045
HT018538120	929t192046
HT018538120	929t192050
HT018538120	929t192051
HT019839137	929t192134
HT018538120	929t192249
HT018538120	929t192250
HT018538120	929t192251
HT018538120	929t192252
HT018538120	929t192253
HT018538120	929t192255
HT018538120	929t192258
HT018538120	929t192259
HT018538120	929t192260
HT018538120	929t192261
HT018538120	929t192262
HT018538120	929t192270
HT018538120	929t192271
HT018538120	929t192272
HT018538120	929t192273
HT018538120	929t192283
HT018538120	929t192284
HT018538120	929t192285
HT018538120	929t192287
HT018538120	929t192288
HT018538120	929t192289
HT018538120	929t192290
HT018538120	929t192291
HT018538120	929t192292
HT018538120	929t192293
HT018538120	929t192294
HT018538120	929t192295
HT018538120	929t192296
HT018538120	929t192297
HT018538120	929t192298
HT018538120	929t192299
HT018538120	929t192300
HT018538120	929t192301
HT018538120	929t192302
HT018538120	929t192303
HT018538120	929t192304
HT018538120	929t192305
HT018538120	929t192306
HT018538120	929t192307
HT018538120	929t192308
HT018538120	929t192309
HT018538120	929t192310
HT018538120	929t192313
HT018538120	929t192314
HT018538120	929t192315
HT018538120	929t192316
HT018538120	929t192317
HT018538120	929t192318
HT018538120	929t192320
HT018538120	929t192321
HT018538120	929t192322
HT018538120	929t192323
HT018538120	929t192324
HT018538120	929t192325
HT018538120	929t192326
HT018538120	929t192327
HT018538120	929t192328
HT018538120	929t192329
HT018538120	929t192330
HT018538120	929t192331
HT018538120	929t192333
HT018538120	929t192334
HT018538120	929t192335
1160459398	929t192594
HT020286677	929t200869
HT020830678	929t210622
1187925683	929t211353
P	929t211508
1172916918	929t212091
1232344249	929t212093
HT020969940	929t212427
HT020830548	929t212428
HT020969781	929t212712
1167735072	929w19000097
1113007605	929w19000098
107627028X	929w19000099
1151336459	929w19000112
1140759981	929w19000113
1171838808	929w19000140
1179500164	929w19000142
1186493275	929w19000250
1016024746	929w19000266
1188059580	929w19000280
1188961578	929w19000285
1183832958	929w19000286
1180056337	929w19000299
1011528851	929w19000305
998452254	929w19000306
998452254	929w19000307
1016640897	929w19000308
1182065465	929w19000310
117201986X	929w19000311
1184667292	929w19000312
1179720768	929w19000319
1188059580	929w20000058
1188059580	929w20000059
1188059580	929w20000060
1188059580	929w20000061
1188059580	929w20000062
1188059580	929w20000063
1188059580	929w20000064
1188059580	929w20000065
1201031141	929w20000225
1197824146	929w21000006
1188961578	929w21000008
1226792731	929w21000161
1187925683	929w21000205
1214956327	929w21000288
1214956327	929w21000291
1214956327	929w21000292
1172916918	929w21000336
1208649795	929w21000337
1237329337	929w21000339
123109057X	929w21000340
TT001168938	107t01111372
TT001103824	107t01126597
13163	107t01165001
13154	107t01165004
13148	107t01165006
13147	107t01165007
13123	107t01165010
13119	107t01165011
13118	107t01165012
13073	107t01165022
13056	107t01165023
12971	107t01165027
12879	107t01165030
12860	107t01165032
12835	107t01165034
11940	107t01165043
11919	107t01165044
13182	107t01165046
13178	107t01165048
13103	107t01165055
12858	107t01165085
12280	107t01165089
12263	107t01165090
2321	107t01165099
2319	107t01165100
2318	107t01165101
2316	107t01165103
2315	107t01165104
2311	107t01165108
2309	107t01165110
2306	107t01165111
2299	107t01165114
2293	107t01165116
2285	107t01165117
2272	107t01165119
14722	107t01165201
