spatial	broader
https://d-nb.info/gnd/4105499-4	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4771515-7	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4054887-9	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4045462-9	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4055608-6	https://rpb.lobid.org/spatial#n19
https://d-nb.info/gnd/4064074-7	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4666501-8	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4678434-2	https://rpb.lobid.org/spatial#n19
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4221819-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/7704149-5	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4027728-8	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4377902-5	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4221819-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4109995-3	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4119314-3	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4039705-1	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4329692-0	https://rpb.lobid.org/spatial#n11
https://d-nb.info/gnd/4117847-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4221819-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4039705-1	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4377902-5	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4766893-3	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4114920-8	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4031485-6	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4039705-1	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4221819-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4114920-8	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4055608-6	https://rpb.lobid.org/spatial#n19
https://d-nb.info/gnd/4025288-7	https://rpb.lobid.org/spatial#n19
https://d-nb.info/gnd/4105499-4	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4094352-5	https://rpb.lobid.org/spatial#n15
https://d-nb.info/gnd/4329692-0	https://rpb.lobid.org/spatial#n11
https://d-nb.info/gnd/4030052-3	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/1145314066	https://rpb.lobid.org/spatial#n30
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4060880-3	https://rpb.lobid.org/spatial#n4060880n3
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4031485-6	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4221819-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4377902-5	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4221819-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4377902-5	https://rpb.lobid.org/spatial#n22
