rppdId	preferredName
ps01904	Friedel, Franz Peter
ps01907	Friedewald, Gerd
ps01910	Friedrich II., Kurfürst von der Pfalz (Der Weise)
ps01914	Friedrich von Bolanden
ps01915	Friedrich von Hausen
ps01916	Friedrich Kasimir von Pfalz-Zweibrücken
ps01917	Friedrich Michael / Zweibrücken-Birkenfeld, Pfalzgraf
ps01919	Friedrich, Theo
ps01920	Friedrich, Wolfgang
ps01921	Frien, Hartmut
ps01924	Fries, Kaspar
ps01925	Fries, Paul
ps01926	Freiß, Uta
ps01927	Frisch, Oskar
ps01929	Fritz, Johannes Adam
ps01930	Fritz, Walter Helmut
ps01934	Frommel, Karl Ludwig
ps01937	Fuchs, Heinrich
ps01938	Fuchs, Johann Heinrich ¬von¬
ps01939	Fuhr, Alfred Th
ps01940	Gaab-Vögeli, Doris
ps01941	Vögeli, Doris
ps01942	Gaebler, Karl
ps01944	Galli da Bibiena, Alessandro
ps01945	Galli da Bibiena, Ferdinando
ps01946	Gallus, Jodocus
ps01948	Ganglitz, Alfred
ps01955	Gauler, Heinrich
ps01950	Gaschott, Friedrich
ps01952	Gatting, Kurt
ps01953	Gauch, Hermann
ps01954	Gauglitz, Alfred
ps01956	Gauly, Otto
ps01957	Gauly, Walter
ps01958	Gauweiler, Georg Jakob
ps01959	Gayer, Johann Christian Karl
ps01960	Gebhardt II., Graf von Urach
ps01961	Gebehard II., Graf von Urach
ps01962	Gebehard I.
ps01963	Geblauer, Hans Martin
ps01965	Geenen, Remigius Ludwig
ps01972	Geiß, Justus
ps01974	Geissel, Johannes II
ps01976	Geldermann, Alexander
ps01977	Gensheimer, Alfred
ps01979	Georg
ps01980	Georg, Pfalzgraf bei Rhein u. Herzog v. Bayern
ps02402	Kessler, Gerald
ps02405	Gänsegretel
ps02406	Kest, Katharina Margarete
ps02407	Kettenring, Reiner
ps02410	Kiefer, Karl Werner
ps02414	Kienast, Arnulf
ps02419	Kimich, Carl
ps02424	Kinzinger, Lothar
ps02435	Kirrmeier, Franz
ps02437	Kirschenlohr-Zweibrücken, Gabriele
ps02438	Kirschner
ps02440	Kystler, Bartholomäus
ps02442	Kysteller, Bartholomäus
