almaMmsId	rpbId
990164243610206441	929t095294
990174609710206441	929t095295
990056108310206441	929t095296
990121943260206441	929t095297
990056175330206441	929t095298
990174488760206441	929t095299
990119917010206441	929t095300
990166626390206441	929t095301
990133925100206441	929t095302
990175868930206441	929t095303
990151371920206441	929t095305
990052528490206441	929t095306
990173720600206441	929t095307
990052523200206441	929t095308
990176659430206441	929t095309
990174135490206441	929t095310
990175714180206441	929t095311
990176659410206441	929t095312
990176741440206441	929t095314
990101936040206441	929t095315
990175792560206441	929t095316
990113926560206441	929t095317
990176840380206441	929t095318
990176839880206441	929t095319
990176835610206441	929t095321
990176701720206441	929t095328
990176692390206441	929t095336
990176704630206441	929t095338
990176701440206441	929t095357
990176705500206441	929t095359
990176835520206441	929t095360
990176508810206441	929t095383
990176753500206441	929t095384
990177067350206441	929t095385
990176881730206441	929t095420
990175105650206441	929t095421
990143689580206441	929t095424
990176589370206441	929t095425
990176007890206441	929t095426
990176835380206441	929t095427
990177025930206441	929t095428
990176840950206441	929t095429
990175857520206441	929t095434
990176658710206441	929t095435
990176876840206441	929t095436
990176876760206441	929t095437
990176896250206441	929t095438
990176896230206441	929t095439
990056558200206441	929t095448
990052532800206441	929t095449
990052523250206441	929t095450
990056403720206441	929t095451
990056188990206441	929t095452
990173547210206441	929t095467
990176679040206441	929t095468
990056032640206441	929t095469
990116474420206441	929t095470
990118813220206441	929t095471
990147721080206441	929t095472
990135962970206441	929t095473
990176607310206441	929t095474
990056032370206441	929t095475
990139837910206441	929t095489
990056425600206441	929t095490
990052492210206441	929t095491
990176749780206441	929t095497
990176750010206441	929t095498
990177166420206441	929t095500
990176520690206441	929t095504
990051328510206441	929t095508
990168371630206441	929t095510
990176929340206441	929t095546
990177095370206441	929t095549
990055795530206441	929t095562
990055120400206441	929t095563
990175544150206441	929t095566
990175820730206441	929t095569
990175544060206441	929t095572
990175543990206441	929t095574
990177135190206441	929t095588
990177483580206441	929t095589
990176800240206441	929t095590
990144473490206441	929t095591
990177026050206441	929t095592
990177109390206441	929t095593
990177109320206441	929t095594
990177109240206441	929t095595
990177109150206441	929t095596
990177109080206441	929t095597
990177108570206441	929t095598
990177108510206441	929t095599
990177108450206441	929t095600
990177108400206441	929t095601
990177108240206441	929t095602
990177108150206441	929t095603
990177206940206441	929t095604
990176545210206441	929t095605
990071708760206441	929t095607
990042084280206441	929t095608
990177504690206441	929t095614
990177372150206441	929t095616
990177192000206441	929t095618
990176840860206441	929t095619
990176875500206441	929t095621
990177220720206441	929t095622
990176490920206441	929t095625
990176407000206441	929t095627
990176548610206441	929t095629
990177207960206441	929t095661
990033312380206441	929t095662
990147826110206441	929t095670
990177263300206441	929t095672
990177060040206441	929t095685
990177576270206441	929t095693
990177376180206441	929t095694
990177716820206441	929t095695
990177060020206441	929t095706
990177013760206441	929t095707
990133079080206441	929t095708
990055120500206441	929t095709
990052561040206441	929t095711
990177503950206441	929t095712
990176706620206441	929t095713
990176840490206441	929t095718
990176704480206441	929t095720
990176732360206441	929t095728
990177612620206441	929t095729
990177006840206441	929t095730
990039994580206441	929t095732
990176706550206441	929t095733
990176742030206441	929t095734
990173989460206441	929t095735
990176405760206441	929t095736
990176402450206441	929t095737
990177221940206441	929t095738
990176406610206441	929t095739
990148199680206441	929t095740
990175794120206441	929t095741
990177167250206441	929t095742
990177167220206441	929t095743
990177167180206441	929t095744
990177187060206441	929t095745
990177671750206441	929t095746
990029195320206441	929t095747
990175572320206441	929t095748
990177445500206441	929t095766
990177185730206441	929t095767
990176409610206441	929t095768
990177279890206441	929t095770
990177281690206441	929t095771
990177287460206441	929t095772
990177297170206441	929t095773
990177292940206441	929t095774
990017416160206441	929t095793
990177369980206441	929t095794
990177014920206441	929t095803
990177626790206441	929t095804
990177012600206441	929t095805
990177372730206441	929t095806
990177502890206441	929t095807
990177194180206441	929t095808
990177502560206441	929t095822
990177376640206441	929t095823
990177187140206441	929t095824
990177009490206441	929t095826
990177812120206441	929t095827
990177811000206441	929t095828
990055929060206441	929t095829
990177811570206441	929t095830
990176677800206441	929t095831
990106161540206441	929t095834
990177166680206441	929t095840
990177788680206441	929t095841
990136041660206441	929t095843
990056098970206441	929t095855
990177592220206441	929t095856
990175801360206441	929t100002
990176841080206441	929t100003
990177773600206441	929t100004
990176835970206441	929t100005
990176740970206441	929t100007
990176919330206441	929t100013
