gndIdentifier	thumbnail	id	url
10427882X	https://commons.wikimedia.org/wiki/Special:FilePath/W.%20O.%20von%20Horn%20%281798-1867%29%201.png?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/W.%20O.%20von%20Horn%20%281798-1867%29%201.png	https://commons.wikimedia.org/wiki/File:W.%20O.%20von%20Horn%20%281798-1867%29%201.png?uselang=de
12013666X	https://commons.wikimedia.org/wiki/Special:FilePath/Kaspar%20Benedikt%20Beckenkamp%20-%20Selbstbildnis%20%28ca.1800%29.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Kaspar%20Benedikt%20Beckenkamp%20-%20Selbstbildnis%20%28ca.1800%29.jpg	https://commons.wikimedia.org/wiki/File:Kaspar%20Benedikt%20Beckenkamp%20-%20Selbstbildnis%20%28ca.1800%29.jpg?uselang=de
119113325	https://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Wolf.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Wolf.jpg	https://commons.wikimedia.org/wiki/File:Joseph%20Wolf.jpg?uselang=de
113314124	https://commons.wikimedia.org/wiki/Special:FilePath/Faust%20bei%20der%20Arbeit.JPG?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Faust%20bei%20der%20Arbeit.JPG	https://commons.wikimedia.org/wiki/File:Faust%20bei%20der%20Arbeit.JPG?uselang=de
121856054	https://commons.wikimedia.org/wiki/Special:FilePath/David%20Wagner%202010.JPG?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/David%20Wagner%202010.JPG	https://commons.wikimedia.org/wiki/File:David%20Wagner%202010.JPG?uselang=de
118558196	https://commons.wikimedia.org/wiki/Special:FilePath/Jokostra-1.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Jokostra-1.jpg	https://commons.wikimedia.org/wiki/File:Jokostra-1.jpg?uselang=de
171935764	https://commons.wikimedia.org/wiki/Special:FilePath/Ernst-Edmund%20Keil.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Ernst-Edmund%20Keil.jpg	https://commons.wikimedia.org/wiki/File:Ernst-Edmund%20Keil.jpg?uselang=de
1051148200	https://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Polke.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Polke.jpg	https://commons.wikimedia.org/wiki/File:Johannes%20Polke.jpg?uselang=de
107962829	https://commons.wikimedia.org/wiki/Special:FilePath/Hermann%20Josef%20Roth.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Hermann%20Josef%20Roth.jpg	https://commons.wikimedia.org/wiki/File:Hermann%20Josef%20Roth.jpg?uselang=de
118632264	https://commons.wikimedia.org/wiki/Special:FilePath/Erwin%20Wickert%20thumb.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Erwin%20Wickert%20thumb.jpg	https://commons.wikimedia.org/wiki/File:Erwin%20Wickert%20thumb.jpg?uselang=de
118852175	https://commons.wikimedia.org/wiki/Special:FilePath/MAXRUPP.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/MAXRUPP.jpg	https://commons.wikimedia.org/wiki/File:MAXRUPP.jpg?uselang=de
109303954	https://commons.wikimedia.org/wiki/Special:FilePath/Lea%20Ackermann%202012-04-13.JPG?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Lea%20Ackermann%202012-04-13.JPG	https://commons.wikimedia.org/wiki/File:Lea%20Ackermann%202012-04-13.JPG?uselang=de
118561421	https://commons.wikimedia.org/wiki/Special:FilePath/Kentenich%20sonrisa.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Kentenich%20sonrisa.jpg	https://commons.wikimedia.org/wiki/File:Kentenich%20sonrisa.jpg?uselang=de
119047918	https://commons.wikimedia.org/wiki/Special:FilePath/JohannIISimmern.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/JohannIISimmern.jpg	https://commons.wikimedia.org/wiki/File:JohannIISimmern.jpg?uselang=de
118674501	https://commons.wikimedia.org/wiki/Special:FilePath/Max%20bruch.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Max%20bruch.jpg	https://commons.wikimedia.org/wiki/File:Max%20bruch.jpg?uselang=de
118692259	https://commons.wikimedia.org/wiki/Special:FilePath/Werner%20Forssmann%20nobel.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Werner%20Forssmann%20nobel.jpg	https://commons.wikimedia.org/wiki/File:Werner%20Forssmann%20nobel.jpg?uselang=de
117579599	https://commons.wikimedia.org/wiki/Special:FilePath/Ludwig%20Beck%20ca1890.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Ludwig%20Beck%20ca1890.jpg	https://commons.wikimedia.org/wiki/File:Ludwig%20Beck%20ca1890.jpg?uselang=de
