rppdId	preferredName	rppdUri
ps01429	Candidus, August	https://rppd.lobid.org/ps01429
ps01430	Candidus, Pantaleon	https://rppd.lobid.org/ps01430
ps01431	Cannabich, Christian	https://rppd.lobid.org/ps01431
ps01432	Cappel, Julius	https://rppd.lobid.org/ps01432
ps01433	Carl Christian von Nassau-Weilburg	https://rppd.lobid.org/ps01433
ps01437	Häring, Hans Friedrich August	https://rppd.lobid.org/ps01437
ps01438	Caspar	https://rppd.lobid.org/ps01438
ps01439	Cassel, Christian	https://rppd.lobid.org/ps01439
ps01440	Catheart zu Carbiston	https://rppd.lobid.org/ps01440
ps01441	Catty, Johann Bernhard	https://rppd.lobid.org/ps01441
ps01442	Cetto, Anton Freiherr ¬von¬	https://rppd.lobid.org/ps01442
ps01443	Cetto, Joh. Philipp	https://rppd.lobid.org/ps01443
ps01446	Charlotte Friederike	https://rppd.lobid.org/ps01446
ps01447	Cherwell (Lord)	https://rppd.lobid.org/ps01447
ps01448	Chlingensperg auf Berg, Friedrich ¬von¬	https://rppd.lobid.org/ps01448
ps01449	Christ, Franz Xaver	https://rppd.lobid.org/ps01449
ps01450	Christian I. Herzog v. Birkenfeld-Bischweiler	https://rppd.lobid.org/ps01450
ps01451	Christian II. Herzog v. Birkenfeld-Bischweiler	https://rppd.lobid.org/ps01451
ps01452	Christian / Pfalz-Zweibrücken, Herzog, III.	https://rppd.lobid.org/ps01452
ps01453	Christian IV., Herzog v. Zweibrücken	https://rppd.lobid.org/ps01453
ps01454	Christmann, August	https://rppd.lobid.org/ps01454
ps01456	Christmann, Toni	https://rppd.lobid.org/ps01456
ps01458	Ciolina, Francesco	https://rppd.lobid.org/ps01458
ps01462	Clauß, Emilie	https://rppd.lobid.org/ps01462
ps01463	Claußen, Christina	https://rppd.lobid.org/ps01463
ps01464	Clemens, Hermann	https://rppd.lobid.org/ps01464
ps01465	Clemens, Hugo	https://rppd.lobid.org/ps01465
ps01466	Clemm, August Ritter ¬von¬	https://rppd.lobid.org/ps01466
ps01468	Clemm, Karl Friedrich	https://rppd.lobid.org/ps01468
ps01469	Clos, Alexander	https://rppd.lobid.org/ps01469
ps01470	Clos, Karl	https://rppd.lobid.org/ps01470
ps01473	Coblentz, Johanna	https://rppd.lobid.org/ps01473
ps01474	Coblitz, Wilhelm Josef	https://rppd.lobid.org/ps01474
ps01475	Coerper, Johann Baptist	https://rppd.lobid.org/ps01475
ps01476	Cohrssen, Siegfried	https://rppd.lobid.org/ps01476
ps01479	Coninxloo, Gillis van	https://rppd.lobid.org/ps01479
ps01480	Conjola, Karl Anton Franz	https://rppd.lobid.org/ps01480
ps01481	Conrad der Rote, Pfalzgraf bei Rhein	https://rppd.lobid.org/ps01481
ps01482	Conrad, Daniel ¬von¬	https://rppd.lobid.org/ps01482
ps01486	Conta, Gottlieb	https://rppd.lobid.org/ps01486
ps01487	Copius, Balthasar	https://rppd.lobid.org/ps01487
ps01488	Martius, Hedwig	https://rppd.lobid.org/ps01488
ps01489	Corb, Hans	https://rppd.lobid.org/ps01489
ps01492	Cordier, Leopold	https://rppd.lobid.org/ps01492
ps01493	Coressel, Anneliese	https://rppd.lobid.org/ps01493
ps01494	Correll, Heinrich	https://rppd.lobid.org/ps01494
ps01495	Correll, Hermann	https://rppd.lobid.org/ps01495
ps01497	Courtez	https://rppd.lobid.org/ps01497
ps01498	Coverdale, Myles	https://rppd.lobid.org/ps01498
ps01499	Cramer, Jacob	https://rppd.lobid.org/ps01499
ps01500	Cramer, Heinrich	https://rppd.lobid.org/ps01500
ps01502	Croissant, Elisabeth	https://rppd.lobid.org/ps01502
ps01505	Croissant, Herbert	https://rppd.lobid.org/ps01505
ps01509	Croissant, Philipp Jacob	https://rppd.lobid.org/ps01509
ps01513	Cronauer, Jakob	https://rppd.lobid.org/ps01513
ps01515	Cürten, Petrus	https://rppd.lobid.org/ps01515
ps01516	Cullmann, Elisabetha Borisowna	https://rppd.lobid.org/ps01516
ps01517	Cullmann, Philipp Friedrich	https://rppd.lobid.org/ps01517
ps01520	Culmann, Helmut	https://rppd.lobid.org/ps01520
ps01521	Culmann, Karl	https://rppd.lobid.org/ps01521
ps01523	Cumart, Neufel A.	https://rppd.lobid.org/ps01523
ps01524	Czech, Rainer Joshua	https://rppd.lobid.org/ps01524
ps01525	Dacqué, Edgar Viktor August	https://rppd.lobid.org/ps01525
ps01526	Dacqué, Friedrich	https://rppd.lobid.org/ps01526
ps01527	Dacqué, Rudolf	https://rppd.lobid.org/ps01527
ps01528	Daffner, Franz	https://rppd.lobid.org/ps01528
ps01529	Dafferner, Franz	https://rppd.lobid.org/ps01529
ps01535	Dalwin, Bernhard	https://rppd.lobid.org/ps01535
ps01537	Damian, Willy	https://rppd.lobid.org/ps01537
ps01539	Danecki, Stefan	https://rppd.lobid.org/ps01539
ps01540	Daniels, Peter Joseph	https://rppd.lobid.org/ps01540
ps01543	Darmet, Jean-Marie	https://rppd.lobid.org/ps01543
ps01545	Dathenus, Petrus	https://rppd.lobid.org/ps01545
ps01548	Dauer, Lore	https://rppd.lobid.org/ps01548
ps01549	Daut, Jürgen	https://rppd.lobid.org/ps01549
ps01550	Dautermann, Wilhelm	https://rppd.lobid.org/ps01550
ps01552	Davies, John	https://rppd.lobid.org/ps01552
ps01553	Day, Friedrich	https://rppd.lobid.org/ps01553
ps01555	Dechow, Eberhard	https://rppd.lobid.org/ps01555
ps01556	Decker, Albert	https://rppd.lobid.org/ps01556
ps01557	Decker, Bernd	https://rppd.lobid.org/ps01557
ps01559	Dedreux, Wilhelm Peter	https://rppd.lobid.org/ps01559
ps01563	Degen, Willi	https://rppd.lobid.org/ps01563
ps01564	Degenhart, Joseph	https://rppd.lobid.org/ps01564
ps01566	Deinert, Andreas	https://rppd.lobid.org/ps01566
ps01568	Demel-Schuhmann, Gertrud	https://rppd.lobid.org/ps01568
ps01569	Danisius, Petrus	https://rppd.lobid.org/ps01569
ps01570	Denais, Petrus	https://rppd.lobid.org/ps01570
ps01571	De Nays, Petrus	https://rppd.lobid.org/ps01571
ps01574	Denzer, Manfred	https://rppd.lobid.org/ps01574
ps01575	Derleth, Ludwig	https://rppd.lobid.org/ps01575
ps01576	Deter, Karl	https://rppd.lobid.org/ps01576
ps01578	Detzner, Hermann	https://rppd.lobid.org/ps01578
ps01584	Dexheimer, Johannes	https://rppd.lobid.org/ps01584
ps01585	Dhom, Emil	https://rppd.lobid.org/ps01585
ps01586	Dhünen, Felix	https://rppd.lobid.org/ps01586
ps01587	Sondinger, Franz	https://rppd.lobid.org/ps01587
ps01588	Dick, Karl	https://rppd.lobid.org/ps01588
ps01589	Diehl, Karl	https://rppd.lobid.org/ps01589
ps01591	Diehl, Ludwig	https://rppd.lobid.org/ps01591
ps01592	Diel, Florentius	https://rppd.lobid.org/ps01592
ps01593	Dienheim, Eberhard Freiherr ¬von¬	https://rppd.lobid.org/ps01593
ps01595	Dienheim, Johann Wolfgang ¬von¬	https://rppd.lobid.org/ps01595
ps01596	Diepold, Franz	https://rppd.lobid.org/ps01596
ps01597	Dietrich, Klaus-Dieter	https://rppd.lobid.org/ps01597
ps01599	Dietrich, Carl H.	https://rppd.lobid.org/ps01599
ps01600	Cadi	https://rppd.lobid.org/ps01600
ps01601	Dietrich v. Deidesheim	https://rppd.lobid.org/ps01601
ps01602	Dietrich, Franz	https://rppd.lobid.org/ps01602
ps01603	Dietrich, Hanns	https://rppd.lobid.org/ps01603
ps01605	Dietsch, Gustl	https://rppd.lobid.org/ps01605
ps01607	Dietzsch, Emil	https://rppd.lobid.org/ps01607
ps01608	Dietzsch, Silvia	https://rppd.lobid.org/ps01608
ps01611	Dill, Liesbet	https://rppd.lobid.org/ps01611
ps01615	Dillmann, Ludwig	https://rppd.lobid.org/ps01615
ps01616	Dingler, Christian Nikolaus	https://rppd.lobid.org/ps01616
ps01618	Dingler, Hermann	https://rppd.lobid.org/ps01618
ps01620	Dirion, Valentin	https://rppd.lobid.org/ps01620
ps01621	Dister, Rudolf	https://rppd.lobid.org/ps01621
ps01626	Döderlein, Ludwig H. Ph	https://rppd.lobid.org/ps01626
ps01628	Dörr, Johannes Maria	https://rppd.lobid.org/ps01628
ps01631	Dörsam, Walter	https://rppd.lobid.org/ps01631
ps01633	Dolle, Philipp Jakob	https://rppd.lobid.org/ps01633
ps01634	Dolleschal, Erich	https://rppd.lobid.org/ps01634
ps01637	Doppler, Hartmut	https://rppd.lobid.org/ps01637
ps01639	Dosenheimer, Elise	https://rppd.lobid.org/ps01639
ps01640	Drach, Peter (der Mittlere)	https://rppd.lobid.org/ps01640
ps01641	Dragobodo	https://rppd.lobid.org/ps01641
ps01642	Dratt, Hans ¬von¬	https://rppd.lobid.org/ps01642
ps01643	Trott, Hans ¬von¬	https://rppd.lobid.org/ps01643
ps01644	Draxel-Fischer, Gisela	https://rppd.lobid.org/ps01644
ps01645	Fischer, Gisela	https://rppd.lobid.org/ps01645
ps01646	Drees, Friedrich	https://rppd.lobid.org/ps01646
ps01651	Rohrbacher, Anna	https://rppd.lobid.org/ps01651
ps01653	Dreyer, Josef	https://rppd.lobid.org/ps01653
ps01654	Drum, Jakob	https://rppd.lobid.org/ps01654
ps01659	Duffing, Tine	https://rppd.lobid.org/ps01659
ps01661	Dusch	https://rppd.lobid.org/ps01661
ps01664	Ebel, Heinrich	https://rppd.lobid.org/ps01664
ps01665	Ebelmann, Hans	https://rppd.lobid.org/ps01665
ps01666	Ebelmann, Hans Jakob	https://rppd.lobid.org/ps01666
ps01667	Eber, Elk	https://rppd.lobid.org/ps01667
