rppdId	preferredName
pk00330	Wessely, Margit Ilse
pk00331	Wickert, Erwin
pk00332	Wild, Klaus Eberhard
pk00333	Winter, Michael
pk00334	Wolter, Katharina
pk00335	Zilligen, Therese
pk00336	Mittler, Peter
pk00337	Rupp, Max
pk00338	AndyMo
pk00339	Hirschmann, Katharina
pk00340	Frank, Josef Maria
pk00341	Hoffmann, Monika
pk00342	Fuchs, Tobias
pk00344	Köster, Fritz
pk00345	Ackermann, Lea
pk00346	Kentenich, Joseph
pk00347	Steeg, Winand ¬von¬
pk00348	Johann / II. / Pfalz-Simmern, Pfalzgraf
pk00349	Heyen, Franz-Josef
pk00350	Junker, Ernst Wiegand
pk00351	Bruch, Max
pk00352	Henkel, Gisela
pk00353	Korhammer, Eva
pk00355	Kürten, Hans Peter
pk00356	Wydra, Gerhard
pk00357	André, Phillip
pk00358	Förger, Annette
pk00359	Freithofer-Hohenegger, Gerlinde
pk00360	Ecker, Inge
pk00361	Kohns, Renate
pk00362	Braun, Michaela
pk00363	Kahrmann, Ellen-Ingrid
pk00364	Dirks, Evelyn
pk00365	Wilhelmi, Hermann
pk00368	Krüger, Thomas W.
pk00369	Voorhoeve, Anne C.
pk00370	Pauly, Alfredo
pk00371	Kaster, Rudolf
pk00372	Steffens, Daniela
pk00373	Reichert, Hans
pk00374	Limbach, Petra Raya
pk00375	Bauer, Annette
pk00377	Ackermann, Heinrich
pk00378	Forßmann, Werner
pk00379	Hahn, Manfred
pk00381	Schoon, Ben
pk00382	Abt, Antonius
pk00384	Beck, Ludwig
pk00385	Bonnet, Rudolf
pk00386	Jacob, Paul Walter
pk00388	Bürger, Gerhard
pk00389	Conrady, Wilhelm
pk00390	Diefenbach, Johann
pk00391	Dirichs, Ferdinand
pk00392	Ebhardt, Bodo
pk00393	Lessing, Anton
pk00395	Bender, Hermann
pk00396	Meineke, Felix
pk00397	Reinhardt, Daweli
pk00398	Walter, Richard
pk00400	Ramseger-Mühle, Karl
pk00401	Schmidt, Marie
pk00403	Tepe, Leo
pk00404	Zais, Eduard
pk00405	Zülch, Georg
pk00406	Pechau, Sophia
pk00407	Schmitt-Kilian, Jörg
pk00409	Müller, Heinz W.
pk00410	Jakob / III. / Trier, Erzbischof
pk00411	Beer, Walter
pk00412	Mannebach, Peter
pk00415	Balduin / Trier, Erzbischof, Kurfürst
pk00416	Hilda / Baden, Großherzogin
pk00418	Raiffeisen, Friedrich Wilhelm
pk00419	Weyrich, Ulrike
pk00420	Schmid, Helmut
pk00421	Gutendorf, Rudi
pk00422	Keiling, Manfred
pk00423	Christmann, Willi
pk00424	Büllesbach, Josef
pk00425	Baumann, Karl
pk00426	Bell, Werner
pk00427	Kath, Ludwig
pk00428	Rodday, Albert Arco
pk00429	Simon-Schäfer, Hans-Albert
pk00430	Stadtmüller, Heinrich
pk00431	Thrun, Ernst
pk00432	Weygandt, C.
pk00433	Linkenbach, Hans Ludwig
pk00434	Spielmann, Christian
pk00435	Henninger, Aloys
pk00436	Hanson, Ludwig
pk00437	Philippi, Fritz
pk00438	Geßner, Albert
pk00439	Luxem, Johannes Friedrich
pk00440	Kalley, Bernhard
pk00441	Heinen, Josef
pk00442	Krahforst, Josef
pk00445	Fuhrmann, Peter
pk00447	Schwindt, Helmut
pk00448	Fiedler, Rose
pk00449	Goedert, Willibald
pk00450	Lellmann, Raimund
pk00451	Albini, Franz Josef ¬von¬
pk00452	Vacano, Otto ¬von¬
pk00463	Blum, Theo
pk00464	Stockhausen, Heinz
pk00468	Kuns, Bernhard Josef
pk00478	Fabry, Ulrich
pk00479	Wagner, Friedrich Wilhelm
pk00480	Krause, Dankmar
pk00482	Gieraths, Peter
pk00483	Schneider, Paul Georg
pk00484	Henkel, Fritz
pk00485	Garnier, Friedrich Ernst ¬von¬
pk00486	Henkel, Fritz
pk00487	Hilb, Erich
pk00488	Adler, Hans A.
pk00489	Langer, Richard
pk00491	Gessner, Paul
pk00492	Becker, Udo
pk00493	Herz, Moses
pk00494	Huber, Hans Jürgen
pk00495	Munsch, Willi
pk00496	Löwenherz, Johanna
pk00497	Wittmann, Anna
pk00498	Schneider, Elli
pk00501	Kirchhoff, Auguste
pk00503	Agelfang, Brigitta
pk00504	Diehl, Kirstin
pk00505	Scheer, Rudolf
pk00506	Kallinowsky, Hans
pk00507	Rudershausen, Hans
pk00508	Frantzen, Helmut
pk00509	Alzer, Clemens
pk00510	Hill, Heinz-Hugo
pk00511	Winand, Fabiola
pk00512	Jöres, Hans
pk00513	Kahlefeld, Heinrich
pk00514	Nachtsheim, Hans
pk00515	Mand, Carl
pk00516	Straßmann, Fritz
pk00517	Terwiel, Maria
pk00518	Thonet, Michael
pk00519	Wiegand, Theodor
pk00520	Boeselager, Philipp ¬von¬
pk00521	Schlich, Franz
pk00523	Noethen, Harald
pk00524	Wißkirchen, Willy
pk00525	Goehlen, Gabriele
pk00526	Kaster, Klaus
pk00527	Weck, Hans
pk00528	Lenz-Fuchs, Renate
pk00529	Büchner, Johannes
pk00531	Piel, Peter
pk00532	Stang, Rudolf
pk00533	Siebold, Philipp Franz ¬von¬
pk00534	Seidel, Eugen
pk00535	Goebel, Georg
pk00536	Doss, Erich
pk00537	Rüddel, Josef
pk00538	Lersch, Gregor
pk00539	Fissler, Harald
pk00540	Jakobs, Alfons
pk00541	Jordan, Christiana
pk00542	Luczak, Jürgen
pk00543	Fischer, Margarete
pk00544	Bilio-Noack, Karin
pk00545	Baldus, Vinzenz
pk00546	Knackfuß, Hubert
pk00547	Knackfuß, Hermann
pk00548	Wolf, Helmut
pk00549	Dillenberger, Rainer
pk00550	Kreutzberg, Bernhard
pk00551	Gönner, Hermann
pk00552	Müller-Ewald, Emil
pk00553	Houben, Horst
pk00554	Schäfer, Heinrich
pk00555	Bauer, Friedhelm
pk00556	Stüber, Brigitte
pk00557	Steppan, Hans-Lothar
pk00558	Horbert, Wolfgang
pk00559	Braun, Christa
pk00560	Steinbusch, Anton Joseph
pk00561	Pieroth, Elmar
pk00562	Sander, August
pk00563	Schäfer, Annegret Katharina
pk00564	Nassauer, Horst
pk00565	Wrobel, Lydia
pk00566	Görres, Norbert
pk00567	Petermann, Reinhold
pk00568	Merkens, Franz Ferdinand
pk00569	Schumacher, Frank
pk00570	Kreuzberg, Walter
pk00571	Schütz, Günter
pk00572	Dumaine, Jean-Marie
pk00573	Alt, Willi
pk00574	Stadtfeld, Martin
pk00575	Schuck, Alfred
pk00576	Paulizky, Heinrich Felix
pk00577	Küveler, Marco
pk00578	Krell, Susanne
pk00579	Edelhoff, Albin
pk00580	Schaust, Walter
pk00581	Gries, Heinz
pk00582	Nalenz, Otto
pk00583	Lauer, Franz-Josef
pk00584	Letter, Dieter
